key1=1050,key2=9687,id=E453
key1=5152,key2=9999,id=E5757
key1=2312,key2=5175,id=E4614
key1=4832,key2=9999,id=E4913
key1=367,key2=995,id=E12
key1=9047,key2=8962,id=E3833
key1=7339,key2=8492,id=E1192
key1=5492,key2=1900,id=E2825
key1=9999,key2=9773,id=E5047
key1=8052,key2=2339,id=E5610
key1=2244,key2=5675,id=E5888
key1=2460,key2=1991,id=E1753
key1=4843,key2=8506,id=E2647
key1=3043,key2=3556,id=E1579
key1=4092,key2=6387,id=E5371
key1=4945,key2=1713,id=E3050
key1=1432,key2=189,id=E5328
key1=8289,key2=6338,id=E3841
key1=4135,key2=3870,id=E5196
key1=5084,key2=9638,id=E4833
key1=3777,key2=2612,id=E39
key1=9107,key2=2176,id=E2792
key1=6327,key2=2829,id=E3722
key1=3643,key2=9999,id=E4692
key1=4616,key2=1280,id=E3380
key1=1412,key2=1836,id=E1681
key1=9999,key2=7921,id=E2625
key1=4290,key2=9660,id=E134
key1=2091,key2=7953,id=E1635
key1=1052,key2=9097,id=E1679
key1=8040,key2=2723,id=E1278
key1=9999,key2=1880,id=E5921
key1=9999,key2=2225,id=E1035
key1=101,key2=8821,id=E2229
key1=7052,key2=4709,id=E4940
key1=6133,key2=5967,id=E5980
key1=8969,key2=9999,id=E4944
key1=2975,key2=6479,id=E3662
key1=2155,key2=4974,id=E1991
key1=3749,key2=4359,id=E5255
key1=9999,key2=2394,id=E1783
key1=8285,key2=9994,id=E2487
key1=8434,key2=3738,id=E147
key1=6926,key2=3134,id=E1343
key1=622,key2=9516,id=E3801
key1=7688,key2=2926,id=E4935
key1=9664,key2=2762,id=E4756
key1=7570,key2=9999,id=E5212
key1=7008,key2=3558,id=E730
key1=4069,key2=4531,id=E3529
key1=3869,key2=2227,id=E4241
key1=9999,key2=1591,id=E3020
key1=1779,key2=2800,id=E5727
key1=3921,key2=641,id=E4602
key1=5432,key2=1888,id=E621
key1=5063,key2=8529,id=E4698
key1=1088,key2=5954,id=E5786
key1=7051,key2=9363,id=E1971
key1=6688,key2=4844,id=E4842
key1=9740,key2=1976,id=E2196
key1=7272,key2=5868,id=E3816
key1=9999,key2=1322,id=E4523
key1=8745,key2=8334,id=E5007
